id,drug_id,drug_name,gene,phenotype,implications_text,recommendation_text,strength,activity_score,allele_status,population,dosing_information,comments,risk_score,combined_text
7588903,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: No Result,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""0.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7588904,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: No Result,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""0.5"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7588905,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: No Result,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""0.75"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7588906,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: No Result,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""1.0"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7588911,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Intermediate Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,Initiate therapy with recommended starting dose.,Optional,"{""CYP2D6"": ""2.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588912,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Normal Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines,Initiate therapy with recommended starting dose.,Strong,"{""CYP2D6"": ""1.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588913,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Normal Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines,Initiate therapy with recommended starting dose.,Strong,"{""CYP2D6"": ""1.5"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588914,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Normal Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines,Initiate therapy with recommended starting dose.,Strong,"{""CYP2D6"": ""1.75"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588915,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Normal Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines,Initiate therapy with recommended starting dose.,Strong,"{""CYP2D6"": ""2.0"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588916,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Normal Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines,Initiate therapy with recommended starting dose.,Strong,"{""CYP2D6"": ""2.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Normal metabolism of tertiary amines | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588917,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Poor Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects,"Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.",Optional,"{""CYP2D6"": ""1.25"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects | Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588918,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Poor Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects,"Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.",Optional,"{""CYP2D6"": ""1.5"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects | Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588919,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Poor Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects,"Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.",Optional,"{""CYP2D6"": ""1.75"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects | Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588936,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Indeterminate,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a,No recommendation,Strong,"{""CYP2D6"": ""2.25"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a | No recommendation
7589120,RxNorm:2670,codeine,CYP2D6,CYP2D6: Ultrarapid Metabolizer,CYP2D6: Increased formation of morphine leading to higher risk of toxicity,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",Strong,"{""CYP2D6"": ""≥3.75""}",,general,,n/a,9,"CYP2D6: Increased formation of morphine leading to higher risk of toxicity | Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid."
7588920,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Poor Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects,"Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.",Optional,"{""CYP2D6"": ""2.0"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects | Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588921,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Poor Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects,"Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.",Optional,"{""CYP2D6"": ""2.25"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects | Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\n for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588922,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Rapid Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.",Optional,"{""CYP2D6"": ""1.25"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588923,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Rapid Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.",Optional,"{""CYP2D6"": ""1.5"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588924,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Rapid Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.",Optional,"{""CYP2D6"": ""1.75"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588925,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Rapid Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.",Optional,"{""CYP2D6"": ""2.0"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588937,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Likely Intermediate Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,Initiate therapy with recommended starting dose.,Optional,"{""CYP2D6"": ""1.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588926,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Rapid Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.",Optional,"{""CYP2D6"": ""2.25"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7588927,RxNorm:2597,clomipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Ultrarapid Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.",Optional,"{""CYP2D6"": ""1.25"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",7,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
